# Matched by Sabine Bellstedt: sabine.bellstedt@gmail.com, via to file GC_Catalogue_Matcher.py
#  		Matched catalogues from files:
# 	/Users/sbellstedt/Dropbox/PhD_Analysis/Data/SLUGGS_GC_RVs/NGC1023_GC_NGC1023ARemoved.txt
# 	/Users/sbellstedt/Dropbox/PhD_Analysis/Data/SLUGGS_GC_RVs/NGC1023_GC_phot.cat
# 		ID_RV, ID_phot, RA, Dec, Vel, VelErr, g, gErr, z, zErr, MatchFlag
  NGC1023_S3 hst_81   39.995810  39.011810   751  20     23.138      0.015    22.399      0.014  1
  NGC1023_S4 hst_99   40.213010  39.066240   598  16     23.483      0.020    22.232      0.013  1
  NGC1023_S5 hst_103   40.228050  39.098530   778  11     22.950      0.013    22.121      0.012  1
  NGC1023_S6 hst_114   40.148190  39.102130   743  14     22.764      0.012    21.931      0.011  1
  NGC1023_S7 hst_128   40.081470  39.076890   526  26     24.035      0.031    22.460      0.020  1
  NGC1023_S8 hst_131   40.083310  39.077200   447   9     22.631      0.012    21.280      0.009  1
  NGC1023_S9 hst_139   40.136410  39.092380   532   5     21.401      0.006    20.154      0.004  1
 NGC1023_S11 hst_164   40.127380  39.059400   766  10     22.195      0.020    20.823      0.016  1
 NGC1023_S12 hst_165   40.127520  39.050360   613  10     22.745      0.025    21.301      0.017  1
 NGC1023_S13 hst_169   40.131370  39.060510   861   8     22.299      0.021    20.893      0.016  1
 NGC1023_S14 hst_170   40.131460  39.056490   714  12     22.637      0.026    21.427      0.022  1
 NGC1023_S16 hst_174   40.132990  39.048680   715  20     23.038      0.031    22.152      0.029  1
 NGC1023_S18 hst_187   40.154310  39.078260   744  11     22.807      0.026    21.674      0.024  1
 NGC1023_S19 hst_207   40.055710  39.039850   675  14     23.213      0.032    21.987      0.024  1
 NGC1023_S20 hst_217   40.081070  39.023820   811   8     22.163      0.017    21.178      0.014  1
 NGC1023_S21 hst_242   40.101400  39.073750   690  10     21.887      0.032    21.011      0.039  1
 NGC1023_S22 hst_267   40.103540  39.058210   570   6     20.754      0.012    19.862      0.018  1
 NGC1023_S23 hst_275   40.114240  39.063350   567   5     20.853      0.010    19.910      0.011  1
 NGC1023_S24 hst_307   40.177660  39.083560   706   5     22.155      0.018    20.797      0.012  1
 NGC1023_S25 hst_313   40.110320  39.087540   711  24     23.149      0.032    22.339      0.031  1
 NGC1023_S26   99.9   39.955566  39.012066   558  17     99.900     99.900    99.900     99.900  1
 NGC1023_S27   99.9   40.241921  39.057297   695  23     99.900     99.900    99.900     99.900  1
 NGC1023_S28 hst_43   40.085820  39.020740   706  34     23.435      0.017    22.409      0.014  1
 NGC1023_S29 hst_58   40.050770  39.060760   481   9     22.771      0.013    21.708      0.012  1
 NGC1023_S30 hst_59   40.051840  39.064100   417  12     23.505      0.022    22.172      0.018  1
 NGC1023_S31 hst_66   40.062100  39.052590   484  20     23.712      0.026    22.591      0.024  1
